dataset name	benchmark?	analyzed?	include?	description	# humans reported	# bots reported	# humans we have	# bots we have	status	doi link	link	summary/notes	access to data?	bibtex_id	title first	author last	approx. citations	title	authors	conference?	booktitle	publisher	pages	doi	journal	volume	number	url		year		
social-spambots-2	cresci-2017;  pan-2019	TRUE	1	Accounts spamming \#TALNTS for several months.	0	3457	0	3457				Promoted #TALNTS hashtag	yes	cresci2017the	the	cresci	368	The paradigm-shift of social spambots: Evidence, theories, and tools for the arms race.	Cresci, Stefano and Di Pietro, Roberto and Petrocchi, Marinella and Spognardi, Angelo and Tesconi, Maurizio	1	26th International Conference on World Wide Web	International World Wide Web Conferences Steering Committee	963--972	10.1145/3041021.3055135				https://doi.org/10.1145/3041021.3055135	319	2017		
social-spambots-3	cresci-2017;  pan-2019	TRUE	1	Accounts spamming advertisements of Amazon products.	0	464	0	464				Advertise products on Amazon	yes	cresci2017the	the	cresci	368	The paradigm-shift of social spambots: Evidence, theories, and tools for the arms race.	Cresci, Stefano and Di Pietro, Roberto and Petrocchi, Marinella and Spognardi, Angelo and Tesconi, Maurizio	1	26th International Conference on World Wide Web	International World Wide Web Conferences Steering Committee	963--972	10.1145/3041021.3055135				https://doi.org/10.1145/3041021.3055135	319	2017		
traditional-spambots-yang	cresci-2017;  yang-2013; pan-2019	TRUE	1	BFS-sampled accounts spamming malicious links from public blacklists.	0	1000	0	1000	reached out to authors				yes	yang2013empirical	empirical	yang	369	Empirical evaluation and new design for fighting evolving twitter spammers.	Chao Yang and Robert Harkreader and Guofei Gu	0			1280--1293	10.1109/TIFS.2013.2267732	IEEE Transactions on Information Forensics and Security	8	8	https://doi.org/10.1109/TIFS.2013.2267732	348	2013		
genuine-accounts-yang	yang-2013	TRUE	1	BFS-sampled accounts passing spam bot check.	10000	0	10000	0					FALSE	yang2013empirical	empirical	yang	369	Empirical evaluation and new design for fighting evolving twitter spammers.	Chao Yang and Robert Harkreader and Guofei Gu	0			1280--1293	10.1109/TIFS.2013.2267732	IEEE Transactions on Information Forensics and Security	8	8	https://doi.org/10.1109/TIFS.2013.2267732	348	2013		
traditional-spambots-2	cresci-2017;  pan-2019	TRUE	1	Accounts luring users with monetary prizes to click scam URLs.	0	100	0	100				simplistic bots that repeatedly mention other users in tweets containing scam URLs	yes	cresci2017the	the	cresci	368	The paradigm-shift of social spambots: Evidence, theories, and tools for the arms race.	Cresci, Stefano and Di Pietro, Roberto and Petrocchi, Marinella and Spognardi, Angelo and Tesconi, Maurizio	1	26th International Conference on World Wide Web	International World Wide Web Conferences Steering Committee	963--972	10.1145/3041021.3055135				https://doi.org/10.1145/3041021.3055135	319	2017		
traditional-spambots-3	cresci-2017;  pan-2019	TRUE	1	Automated accounts spamming job offers.	0	403	0	403				repeatedly tweet about open job positions and job offers	yes	cresci2017the	the	cresci	368	The paradigm-shift of social spambots: Evidence, theories, and tools for the arms race.	Cresci, Stefano and Di Pietro, Roberto and Petrocchi, Marinella and Spognardi, Angelo and Tesconi, Maurizio	1	26th International Conference on World Wide Web	International World Wide Web Conferences Steering Committee	963--972	10.1145/3041021.3055135				https://doi.org/10.1145/3041021.3055135	319	2017		
traditional-spambots-4	cresci-2017;  pan-2019	TRUE	1	Automated accounts spamming job offers.	0	1128	0	1128				repeatedly tweet about open job positions and job offers	yes	cresci2017the	the	cresci	368	The paradigm-shift of social spambots: Evidence, theories, and tools for the arms race.	Cresci, Stefano and Di Pietro, Roberto and Petrocchi, Marinella and Spognardi, Angelo and Tesconi, Maurizio	1	26th International Conference on World Wide Web	International World Wide Web Conferences Steering Committee	963--972	10.1145/3041021.3055135				https://doi.org/10.1145/3041021.3055135	319	2017		
rtbust-2019	1	TRUE	1	Italian accounts with synchronized tweeting behavior labeled manually.	340	353	340	353				"Manually annotated bot and human accounts. Labels and user objects."	yes	mazza2019rtbust	rtbust	mazza	121	RTbust: Exploiting Temporal Patterns for Botnet Detection on Twitter	Michele Mazza and Stefano Cresci and Marco Avvenuti and Walter Quattrociocchi and Maurizio Tesconi	1	10th ACM Conference on Web Science	Association for Computing Machinery	183--192	10.1145/3292522.3326015				https://doi.org/10.1145/3292522.3326015		2019		
stock-2018	1	TRUE	1	Accounts with synchronized tweeting of cashtags promoting low-value stocks.	6174	7102	6174	7102	not ground truth; uses "DNA-inspired online behavioral model- ing and its application to spambot detection." for labels				FALSE	cresci2019fake	fake	cresci	59	\$ FAKE: Evidence of Spam and Bot Activity in Stock Microblogs on Twitter.	Cresci, Stefano and Fabrizio Lillo and Daniele Regoli and Serena Tardelli and Maurizio Tesconi											2019		
debot		FALSE	0						only user ids	https://doi.org/10.1109/ICDM.2016.0096		Unsupervised method that correlates users, checked against whether they were suspended by twitter	yes	chavoshi2016debot	debot	chavoshi	-1	DeBot: Twitter Bot Detection via Warped Correlation	Nikan Chavoshi, Hossein Hamooni, Abdullah Mueen											2016		
ersahin-2017		FALSE	0						only bots	https://ieeexplore.ieee.org/document/8093420		"It is collected manually and investigated by three individuals and all the results of these independent examinations are collected and the intersection of them, that means the common decisions, are selected and put in the dataset. Class decisions are made by examining username, background image, profile image, follower and friends count, description of the account, number of tweets, and content of the tweets. Totally, there are 501 fake and 499 real account data is collected. "	yes	ersahin2017twitter	twitter	ersahin	97	Twitter fake account detection	Erşahin, Buket and Aktaş, Özlem and Kılınç, Deniz and Akyol, Ceyhun	1	International Conference on Computer Science and Engineering (UBMK)		388--392	10.1109/UBMK.2017.8093420				https://ieeexplore.ieee.org/document/8093420	80	2017		
gilani-2017	1	TRUE	1	Accounts of divergent popularity with inter-annotators agreeing on labels.	1413	1090	1939	1492		https://ieeexplore.ieee.org/abstract/document/9069085		Sample accounts with different numbers of followers, ask human annotators to label them	yes	gilani2017classification	classification	gilani	96	Classification of twitter accounts into automated agents and human users	Gilani, Zafar and Kochmar, Ekaterina and Crowcroft, Jon	1	IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)		489--496	10.1145/3110025.3110091				https://ieeexplore.ieee.org/abstract/document/9069085	84	2017		
kaiser		FALSE	0						only user ids			"27 manually annotated German bots, 532 official accounts of German members of parliament, 516 accounts of members of the 115th U.S. Congress"	yes	rauchfleisch2020the	the	rauchfleisch	118	The False positive problem of automatic bot detection in social science research	Rauchfleisch, Adrian; Kaiser, Jonas	0		Public Library of Science	1--20	10.1371/journal.pone.0241045	PLOS ONE	15	10			2020		
kantepe-2017		FALSE	0							https://doi.org/10.1109/UBMK.2017.8093483		checks which accounts get suspended	yes	kantepe2017preprocessing	preprocessing	kantepe	36	Preprocessing framework for Twitter bot detection	Mücahit Kantepe and Murat Can Ganiz	1	International Conference on Computer Science and Engineering (UBMK)		630--634	10.1109/UBMK.2017.8093483				https://doi.org/10.1109/UBMK.2017.8093483	31	2017		
mesnards-2018		FALSE	0							https://arxiv.org/abs/1810.12398	https://github.com/zlisto/ising_bot_detector	too small, only report AUC; 300 manually labeled accounts for several current topics	yes	mesnards2018detecting	detecting	mesnards	-1	Detecting Bots and Assessing Their Impact in Social Networks	Nicolas Guenon des Mesnards and David Scott Hunter and Zakaria el Hjouji and Tauhid Zaman	0				opre.2021.2118	Operations Research	70	1	https://doi.org/10.1287/opre.2021.2118	5	2018		
midterm-2018	1	TRUE	1	Accounts with suspicious tweet timing in 2018 US midterms labeled manually.	8092	42446	8092	42446					yes	yang2020scalable	scalable	yang	183	Scalable and Generalizable Social Bot Detection through Data Selection	Kai-Cheng Yang and Onur Varol and Pik-Mai Hui and Filippo Menczer 	1	AAAI Conference on Artificial Intelligence	Association for the Advancement of Artificial Intelligence 	1096--1103					https://doi.org/10.1609/aaai.v34i01.5460		2020		
morstatter-2016-suspended	morstatter-2016	FALSE	0						reached out to Fred Morstatter	https://doi.org/10.1109/ASONAM.2016.7752287		2 datasets: (1) Checks whether accounts were suspended or deleted and treats those accounts as bots; (2) creates honeypot	FALSE	morstatter2016a	a	morstatter	-1	A new approach to bot detection: Striking the balance between precision and recall	Fred Morstatter and Liang Wu and Tahora H. Nazer and Kathleen M. Carley and Huan Liu	1	IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)		533--540	10.1109/ASONAM.2016.7752287				https://doi.org/10.1109/ASONAM.2016.7752287	163	2016		
morstatter-2016-honeypot	morstatter-2016	FALSE	0						reached out to Fred Morstatter	https://doi.org/10.1109/ASONAM.2016.7752287		2 datasets: (1) Checks whether accounts were suspended or deleted and treats those accounts as bots; (2) creates honeypot	FALSE	morstatter2016a	a	morstatter	-1	A new approach to bot detection: Striking the balance between precision and recall	Fred Morstatter and Liang Wu and Tahora H. Nazer and Kathleen M. Carley and Huan Liu	1	IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)		533--540	10.1109/ASONAM.2016.7752287				https://doi.org/10.1109/ASONAM.2016.7752287	163	2016		
political-bots-2019		TRUE	1	Automated political Twitter accounts run by @rzazula, shared by @josh\_emerson.	0	62	0	62				"Automated political accounts run by @rzazula (now suspended), shared by @josh_emerson on Twitter. Labels and user objects."	yes	yang2019arming	arming	yang	338	Arming the public with artificial intelligence to counter social bots.	Yang, Kai‐Cheng and Onur Varol and Clayton A. Davis and Emilio Ferrara and Alessandro Flammini and and Filippo Menczer	0			48--68	10.1002/hbe2.115	Human Behavior and Emerging Technologies	1				2019		
pronbots-2019		TRUE	1	Accounts with few tweets and realistic profiles sharing pornographic sites.	0	17882	0	17882					yes	yang2019arming	arming	yang	338	Arming the public with artificial intelligence to counter social bots.	Yang, Kai‐Cheng and Onur Varol and Clayton A. Davis and Emilio Ferrara and Alessandro Flammini and and Filippo Menczer	0			48--68	10.1002/hbe2.115	Human Behavior and Emerging Technologies	1				2019		
twibot-2020	1	TRUE	1	BFS-sampled accounts labeled through semantic, property and neighborhood information.			3632	4646		https://doi.org/10.1145/3459637.3482019			yes	feng2021twibot	twibot	feng	14	TwiBot-20: A Comprehensive Twitter Bot Detection Benchmark	Shangbin Feng and Herun Wan and Ningnan Wang and Jundong Li and Minnan Luo	0	30th International Conference on Information & Knowledge Management	Association for Computing Machinery	4485--4494							2021		
varol-2017	pan-2019	FALSE	0	Accounts from Botometer score deciles, labeled manually.	1495	733	1498	696	available in golbeck dataset	https://aaai.org/ocs/index.php/ICWSM/ICWSM17/paper/view/15587		"This dataset contains annotation of 2573 Twitter accounts. Annotation and data crawl is completed in April 2016."	yes	varol2017online	online	varol	-1	Online Human-Bot Interactions: Detection, Estimation, and Characterization 	Onur Varol and Emilio Ferrara and Clayton A. Davis and Filippo Menczer and Alessandro Flammini 	1	Eleventh International AAAI Conference on Web and Social Media	Association for the Advancement of Artificial Intelligence 	280--289					https://aaai.org/ocs/index.php/ICWSM/ICWSM17/paper/view/15587	954	2017		
vendor-purchased-2019		TRUE	1	Fake followers purchased from three companies.	0	1087	0	1087				"Fake follower accounts purchased from several companies. Labels and user objects."	yes	yang2019arming	arming	yang	338	Arming the public with artificial intelligence to counter social bots.	Yang, Kai‐Cheng and Onur Varol and Clayton A. Davis and Emilio Ferrara and Alessandro Flammini and and Filippo Menczer	0			48--68	10.1002/hbe2.115	Human Behavior and Emerging Technologies	1				2019		
verified-2019		FALSE	1	Human accounts with Twitter verified status.	1987	0	1987	0				"Verified human accounts. Labels and user objects."	yes	yang2020scalable	scalable	yang	183	Scalable and Generalizable Social Bot Detection through Data Selection	Kai-Cheng Yang and Onur Varol and Pik-Mai Hui and Filippo Menczer 	1	AAAI Conference on Artificial Intelligence	Association for the Advancement of Artificial Intelligence 	1096--1103					https://doi.org/10.1609/aaai.v34i01.5460		2020		
italian-election		FALSE	0						need to follow up with Manilio	https://doi.org/10.1371/journal.pone.0214210		requires data agreement	FALSE	stella2019influence	influence	stella	-1	Influence of augmented humans in online interactions during voting events	Massimo Stella and Marco Cristoforetti and Manlio De Domenico	0		Public Library of Science	1--16	10.1371/journal.pone.0214210	PLOS ONE	14	5	https://doi.org/10.1371/journal.pone.0214210		2019		
starwars		FALSE	0						reached out to authors	https://arxiv.org/abs/1701.02405		may no longer be available	FALSE	echeverria2017discovery	discovery	echeverria	-1	Discovery, Retrieval, and Analysis of 'Star Wars' botnet in Twitter	Echeverria, Juan and Zhou, Shi	1	IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining	Association for Computing Machinery	1--8	10.1145/3110025.3110074						2017		
journalist-attack-2017		FALSE	0						only bots	https://github.com/edsu/botnet-retweets			yes	braker2020botspot	botspot	braker	-1	BotSpot: Deep Learning Classification of Bot Accounts Within Twitter	Braker, Christopher and Shiaeles, Stavros and Bendiab, Gueltoum and Savage, Nick and Limniotis, Konstantinos and Galinina, Olga and Andreev, Sergey and Balandin, Sergey and Koucheryavy, Yevgeni	1	Internet of Things, Smart Spaces, and Next Generation Networks and Systems	Springer	165--175	10.1007/978-3-030-65726-0				https://link.springer.com/chapter/10.1007/978-3-030-65726-0_16		2020		
bursty-botnet-2017		FALSE	0						reached out to authors			may no longer be available	FALSE	echeverria2017discovery	discovery	echeverria	-1	Discovery of the twitter bursty botnet	Echeverria, Juan and Besel, Christoph and Zhou, Shi	1	Data Science for Cyber-Security		145--159	10.1142/9781786345646_007						2017		
covid-misinfo		FALSE	0							https://apo.org.au/node/305864			FALSE	graham2020like	like	graham	-1	Like a virus: the coordinated spread of coronavirus disinformation 	Timothy Graham and Axel Bruns and Guangnan Zhu and Rod Campbell	1		Centre for Responsible Technology								2020		
keller-2019		FALSE	0							https://doi.org/10.1080/10584609.2019.1661888			FALSE	keller2019political	political	keller	-1	Political Astroturfing on Twitter: How to Coordinate a Disinformation Campaign	Franziska B. Keller and David Schoch and Sebastian Stier and JungHwan Yang	0		Routledge	256--280	10.1080/10584609.2019.1661888	Political Communication	37	2			2019		
random-strings-2018		FALSE	0						followed up	http://www.casos.cs.cmu.edu/events/summer_institute/2019/si_portal/pubs/2018_Using_Random%20String.pdf			FALSE	beskow2018using	using	beskow	-1	Using Random String Classification to Filter and Annotate Automated	Beskow, David M. and Carley, Kathleen M.	1	Social, Cultural, and Behavioral Modeling	Springer	367--376	10.1007/978-3-319-93372-6						2018		
darpa-challenge-2015		FALSE	0						can't find data	https://arxiv.org/abs/1601.05140			FALSE	subrahmanian2016the	the	subrahmanian	-1	The DARPA Twitter Bot Challenge	V.S. Subrahmanian and Amos Azaria and Skylar Durst and Vadim Kagan and Aram Galstyan and Kristina Lerman and Linhong Zhu and Emilio Ferrara and Alessandro Flammini and Filippo Menczer and Andrew Stevens and Alexander Dekhtyar and Shuyang Gao and Tad Hogg and Farshad Kooti and Yan Liu and Onur Varol and Prashant Shiralkar and Vinod Vydiswaran and Qiaozhu Mei and Tim Hwang	0			38--46	10.1109/MC.2016.183	Computer	49	6			2016		
albadi-2018		FALSE	0						need to reach out	https://dl.acm.org/doi/pdf/10.1145/3359163?casa_token=3_tmXYDpuSAAAAAA:D76R18fzbgo4zZR7GOuB7PnDerwQtncCF-pSoEvn3_EYHnSWaYmYt56TmXHjyd7WfCWGDtQy_Hs-kg			FALSE	albadi2018are	are	albadi	-1	Are They Our Brothers? Analysis and Detection of Religious Hate Speech in the Arabic Twittersphere	Nuha Albadi and Maram Kurdi and Shivakant Mishra	1	IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)		69--76	10.1109/ASONAM.2018.8508247						2018		albadi-2018
weber-2020		FALSE	0						need to reach out	https://doi.org/10.1109/ASONAM49781.2020.9381418	https://github.com/weberdc/find_hccs/tree/master/data	Tweets from Australian election 	FALSE	weber2020whos	whos	weber	-1	Who's in the Gang? Revealing Coordinating Communities in Social Media	Weber, Derek and Neumann, Frank	1	IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)		89--93	10.1109/ASONAM49781.2020.9381418						2020		
ira-20118		FALSE	0						need to reach out	https://doi.org/10.1109/ASONAM49781.2020.9381418	https://github.com/weberdc/find_hccs/tree/master/data	Internet Research Agency dataset published by Twitter	FALSE	weber2020whos	whos	weber	-1	Who's in the Gang? Revealing Coordinating Communities in Social Media	Weber, Derek and Neumann, Frank	1	IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)		89--93	10.1109/ASONAM49781.2020.9381418						2020		
fbpe-2021		FALSE	0						need to reach out	https://doi.org/10.1177%2F08944393211034991		bot accounts identified by unusually activity, define a prior	FALSE	beatson2021automation	automation	beatson	-1	Automation on Twitter: Measuring the Effectiveness of Approaches to Bot Detection 	Oliver Beatson and Rachel Gibson and Marta Cantijoch Cunill and Mark Elliot	0				10.1177/08944393211034991	Social Science Computer Review	0	0			2021		
russian-trolls-2018		FALSE	0							https://www.nbcnews.com/tech/social-media/now-available-more-200-000-deleted-russian-troll-tweets-n844731		just bots	yes	popken2018twitter	twitter	popken	-1	Twitter deleted 200,000 Russian troll tweets. Read them here.	Ben Popken											2018		
