bibtex_id	dataset(s) used	author last	title first	approx # google scholar citations	title	authors	conference?	year	booktitle	publisher	pages	doi	journal	volume	number	url	avg. # citations / year	types of features used (network stats? NLP?)	model used (deep learning? random forests? NLP?)	notes	accuracy	precision	recall	f1	AUC	MCC	Specificity / TPR	Sensitivity / TNR	FPR	FNR	Detection rate	Error rate	Kolmogorov-Smirnov distance	Kullback-Liebler distance
barhate2020twitter	botwiki-2019; midterm-2018; verified-2019	barhate	twitter	4	Twitter bot detection and their influence in hashtag manipulation	Barhate, Sanket and Mangla, Ritika and Panjwani, Dhwani and Gatkal, Suyash and Kazi, Faruk	1	2020	IEEE 17th India Council International Conference		1--7	10.1109/INDICON49873.2020.9342152				https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9342152&casa_token=ogna7W9EPNUAAAAA:wW-u8xbVTg8Im26PogY_VFRUT-AXFvXfBUWCc98c7jXOYZjzGSgnTySOMfBAQLOzcRzWnFmp8bA&tag=1								0.973										
nguyen2020bot	rtbust-2019	nguyen	bot	2	Bot Detection on Social Networks Using Persistent Homology 	Minh Nguyen and Mehmet Aktas and Esra Akbas 	0	2020				10.3390/mca25030058	Mathematical and Computational Applications	25	3																			
mazza2019rtbust	rtbust-2019	mazza	rtbust	121	RTbust: Exploiting Temporal Patterns for Botnet Detection on Twitter	Michele Mazza and Stefano Cresci and Marco Avvenuti and Walter Quattrociocchi and Maurizio Tesconi	1	2019	10th ACM Conference on Web Science	Association for Computing Machinery	183--192	10.1145/3292522.3326015				https://doi.org/10.1145/3292522.3326015	35				0.9304			0.8687		0.7572								
stella2019influence	cresci-2015; cresci-2017; russian-trolls-2018	stella	influence	46	Influence of augmented humans in online interactions during voting events	Massimo Stella and Marco Cristoforetti and Manlio De Domenico	0	2019		Public Library of Science	1--16	10.1371/journal.pone.0214210	PLOS ONE	14	5	https://doi.org/10.1371/journal.pone.0214210					all: 0.9	0.95												
loyola-gonzalez2019contrast	cresci-2017	loyola-gonzalez	contrast	43	Contrast Pattern-Based Classification for Bot Detection on Twitter	Octavio Loyola-González and Raúl Monroy and Jorge Rodríguez-Ruiz and Armando López-Cuevas and Javier Israel Mata-Sánchez	0	2019			45800--45817	10.1109/ACCESS.2019.2904220	IEEE Access	7		https://doi.org/10.1109/ACCESS.2019.2904220	12								0.9	0.91								
gilani2019a	gilani-2017	gilani	a	43	A Large-scale Behavioural Analysis of Bots and Humans on Twitter	Gilani, Zafar and Farahbakhsh, Reza and Tyson, Gareth and Crowcroft, Jon	0	2019		Association for Computing Machinery		10.1145/3298789	ACM Transactions on the Web	13	1	https://doi.org/10.1145/3298789																		
wei2019twitter	cresci-2017 tweets	wei	twitter	40	Twitter Bot Detection Using Bidirectional Long Short-term Memory Neural Networks and Word Embeddings	Feng Wei and Uyen Trang Nguyen 	1	2019	2019 First IEEE International Conference on Trust, Privacy and Security in Intelligent Systems and Applications (TPS-ISA)		101-109	10.1109/TPS-ISA48467.2019.00021				https://arxiv.org/pdf/2002.01336.pdf	11				0.961	0.94	0.976	0.963		0.92	0.938							
mohammad2019bot	cresci-2017	mohammad	bot	19	Bot detection using a single post on social media	Shad Mohammad and Mazhar Ali and Leo Liu and Matthew Shardlow and Raheel Nawaz	1	2019	Third World Conference on Smart Trends in Systems Security and Sustainablity (WorldS4)		215--220	10.1109/WorldS4.2019.8903989				https://doi.org/10.1109/WorldS4.2019.8903989	5	tweets			0.9943	0.99	0.99	0.99										
alhosseini2019detect	caverlee-2011; cresci-2017; yang-2013-traditional-spambots-1	alhosseini	detect	17	Detect Me If You Can: Spam Bot Detection Using Inductive Representation Learning	Seyed Ali Alhosseini and Raad Bin Tareaf and Pejman Najafi and Christoph Meinel	1	2019	2019 World Wide Web Conference	Association for Computing Machinery	148--153	10.1145/3308560.3316504				https://dl.acm.org/doi/10.1145/3308560.3316504	5					all: 0.89	all: 0.8	all: 0.84	all: 0.94									
	cresci-2017	kaubiyal	a	14	A Feature Based Approach to Detect Fake Profiles in Twitter	Jyoti Kaubiyal and Ankit Kumar Jain		2019																										
knauth2019language-agnostic	cresci-2017	knauth	language-agnostic	13	Language-Agnostic Twitter-Bot Detection	Jürgen Knauth	1	2019	International Conference on Recent Advances in Natural Language Processing (RANLP)	INCOMA Ltd.	550--558	10.26615/978-954-452-056-4				http://dx.doi.org/10.26615/978-954-452-056-4_065	4				0.9881	0.9958	0.9835	0.9896	0.9959									
kosmajac2019twitter	varol-2017; cresci-2017	kosmajac	twitter	13	Twitter Bot Detection using Diversity Measures	Dijana Kosmajac and Vlado Kesel	1	2019	3rd International Conference on Natural Language and Speech Processing	Association for Computational Linguistics	1--8					https://aclanthology.org/W19-7401/	4			consider reaching out to see if they will share the full varol data				cresci-2017: 0.9667 varol-2017: 0.7306										
luo2019deepbot	pan-2019	luo	deepbot	11	Deepbot: A Deep Neural Network based approach for Detecting Twitter Bots	Linhao Luo and Xiaofeng Zhang and Xiaofei Yang and Weihuang Yang	0	2019		{IOP} Publishing		10.1088/1757-899x/719/1/012063	{IOP} Conference Series: Materials Science and Engineering	719	1	https://doi.org/10.1088/1757-899x/719/1/012063					0.7964				0.8704									
garcia-silva2019an	gilani-2017 tweets	garcia-silva	an	4	An Empirical Study on Pre-trained Embeddings and Language Models for Bot Detection	Andres Garcia-Silva and Cristian Berrio and José Manuel Gómez-Pérez	1	2019	4th Workshop on Representation Learning for NLP (RepL4NLP)	Association for Computational Linguistics	148--155	10.18653/v1/W19-4317				http://dx.doi.org/10.18653/v1/W19-4317	1					0.8481	0.8243	0.8229										
kudugunta2018deep	cresci-2017	kudugunta	deep	256	Deep neural networks for bot detection	Sneha Kudugunta and Emilio Ferrara	0	2018			312--322	10.1016/j.ins.2018.08.019	Information Sciences	467		https://doi.org/10.1016/j.ins.2018.08.019	57	cresci dataset features	a deep neural network based on contextual long short-term memory (LSTM) architecture that exploits both con- tent and metadata to detect bots at the tweet level; also propose a technique based on synthetic minority oversampling to generate a large labeled dataset, suitable for deep nets training, from a minimal amount of labeled data (roughly 3000 examples of sophisticated Twitter bots)		0.9981	1	1	1	0.9981									
cresci2018social	cresci-2017	cresci	social	132	Social Fingerprinting: Detection of Spambot Groups Through DNA-Inspired Behavioral Modeling	Stefano Cresci and Roberto Di Pietro and Marinella Petrocchi and Angelo Spognardi and Maurizio Tesconi	0	2018			561--576	10.1109/TDSC.2017.2681672	IEEE Transactions on Dependable and Secure Computing	15	4	https://doi.org/10.1109/TDSC.2017.2681672	29				0.977	1	0.977	0.977		0.955	1							
beskow2018bot	random-strings-2018; caverlee-2011; journalist-attack-2017	beskow	bot	40	Bot conversations are different: leveraging network metrics for bot detection in twitter	Beskow, David M. and Kathleen M. Carley	1	2018	IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)		825--832	10.1109/ASONAM.2018.8508322				https://doi.org/10.1109/ASONAM.2018.8508322	9					Random data: 0.99 journalist-attack-2017: 0.973	Random data: 0.991 journalist-attack-2017: 0.742		Random data: 0.992 journalist-attack-2017: 0.858									
echeverria2018lobo	starwars; besel-2018; debot; cresci-2017; cresci-2015; darpa-challenge-2015; journalist-attack-2017; gilani-2017	echeverria	lobo	33	LOBO: Evaluation of Generalization Deficiencies in Twitter Bot Classifiers	Echeverria, Juan and De Cristofaro, Emiliano and Kourtellis, Nicolas and Leontiadis, Ilias and Stringhini, Gianluca and Zhou, Shi	1	2018	34th Annual Computer Security Applications Conference	Association for Computing Machinery	137--146	10.1145/3274694.3274738				https://dl.acm.org/doi/abs/10.1145/3274694.3274738	7				all: 0.9784				all: 0.98									
dehghan2018detecting	twibot-2020	dehghan	detecting	1	Detecting Bots in Social-Networks Using Node and Structural Embeddings	Ashkan Dehghan and Kinga Siuta and Agata Skorupka and Akshat Dubey and Andrei Betlen and David Miller and Wei Xu and Bogumił Kamiński and Paweł Prałat	1	2018	11th International Conference on Data Science, Technology and Applications (DATA)	SciTePress	50--61	10.5220/0011147300003269				https://math.ryerson.ca/~pralat/papers/bots.pdf	0				0.8176			0.8452		0.6246								
varol2017online	caverlee-2011; varol-2017	varol	online	954	Online Human-Bot Interactions: Detection, Estimation, and Characterization 	Onur Varol and Emilio Ferrara and Clayton A. Davis and Filippo Menczer and Alessandro Flammini 	1	2017	Eleventh International AAAI Conference on Web and Social Media	Association for the Advancement of Artificial Intelligence 	280--289					https://aaai.org/ocs/index.php/ICWSM/ICWSM17/paper/view/15587	173	user-based features, friends features, network features, temporal features, content/language features, sentiment features	The best classification perfor- mance of 0.95 AUC was obtained by the Random Forest al- gorithm. In the rest of the paper we use the Random Forest model trained using 100 estimators and the Gini coefficient to measure the quality of splits.	botometer v2 (?)	all: 0.86				0.94									
ferrara2017disinformation	varol-2017; cresci-2017	ferrara	disinformation	450	Disinformation and Social Bot Operations in the Run Up to the 2017 French Presidential Election 	Emilio Ferrara	0	2017				10.5210/fm.v22i18.8005	First Monday	22	8	https://arxiv.org/abs/1707.00086	82				all: 0.93				all: 0.92									
cresci2017the	cresci-2017	cresci	the	319	The paradigm-shift of social spambots: Evidence, theories, and tools for the arms race.	Cresci, Stefano and Di Pietro, Roberto and Petrocchi, Marinella and Spognardi, Angelo and Tesconi, Maurizio	1	2017	26th International Conference on World Wide Web	International World Wide Web Conferences Steering Committee	963--972	10.1145/3041021.3055135				https://doi.org/10.1145/3041021.3055135	58	range of features in csv, including profile characteristics and tweets	re-runs analysis on existing techniques		n/a	n/a	n/a	n/a	n/a	n/a								
gilani2017of	gilani-2017	gilani	of	91	Of Bots and Humans (on Twitter)	Gilani, Zafar and Farahbakhsh, Reza and Tyson, Gareth and Wang, Liang and Crowcroft, Jon	1	2017	IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining 	Association for Computing Machinery	349--354	10.1145/3110025.3110090																						
wu2017adaptive	caverlee-2011	wu	adaptive	54	Adaptive Spammer Detection with Sparse Group Modeling	Liang Wu and Xia Hu and Fred Morstatter and Huan Liu	1	2017	Eleventh International AAAI Conference on Web and Social Media (ICWSM)	Association for the Advancement of Artificial Intelligence	319--326					https://ojs.aaai.org/index.php/ICWSM/article/view/14887	10					0.93	0.9692	0.9531										
cresci2017exploiting	cresci-2017	cresci	exploiting	20	Exploiting digital DNA for the analysis of similarities in Twitter behaviour	Stefano Cresci and Roberto Di Pietro and Marinella Petrocchi and Angelo Spognardi and Maurizio Tesconi	1	2017	IEEE International Conference on Data Science and Advanced Analytics (DSAA)		686--695	10.1109/DSAA.2017.57				https://ieeexplore.ieee.org/document/8259831	4																0.0028	0.0001
davis2016botornot	caverlee-2011	davis	botornot	757	BotOrNot: A System to Evaluate Social Bots 	Davis, Clayton Allen and Varol, Onur and Ferrara, Emilio and Flammini, Alessandro and Menczer, Filippo	1	2016	25th International Conference Companion on World Wide Web	International World Wide Web Conferences Steering Committee	273--274	10.1145/2872518.2889302				https://doi.org/10.1145/2872518.2889302	116	user-based features, friends features, network features, temporal features, content/language features, sentiment features	BotOrNot’s classifier uses Random Forest, an ensemble super- vised learning method. Extracted features are leveraged to train seven different classifiers: one for each subclass of features and one for the overall score. Ten-fold cross-validation yields a perfor- mance of 0.95 AUC (Area Under ROC Curve). 	botometer v1 (?)					0.95									
cresci2016dna-inspired	cresci-2017	cresci	dna-inspired	134	DNA-Inspired Online Behavioral Modeling and Its Application to Spambot Detection	Stefano Cresci and Roberto Di Pietro and Marinella Petrocchi and Angelo Spognardi and Maurizio Tesconi	0	2016			58--64	10.1109/MIS.2016.29	IEEE Intelligent Systems	31	5	https://doi.org/10.1109/MIS.2016.29	21				0.977	1	0.972	0.977		0.952	1							
alarifi2016twitter	caverlee-2011; alarifi-2016	alarifi	twitter	81	Twitter turing test: Identifying social machines	Abdulrahman Alarifi and Mansour Alsaleh and AbdulMalik Al-Salman	0	2016			332--346	10.1016/j.ins.2016.08.036	Information Sciences	372		https://doi.org/10.1016/j.ins.2016.08.036	12	# hashtags per tweet, number of times a hashtag was used, # links, # mentions per tweet, # characters per tweet, # pictures, ...	run feature selection and then 4 ML models: decision tree, Bayesian network, SVM and neural net			0.91	0.91	0.91			0.91		0.09		0.9139	0.0861		
cresci2015fame	cresci-2015	cresci	fame	346	Fame for sale: Efficient detection of fake Twitter followers	Stefano Cresci and Roberto Di Pietro and Marinella Petrocchi and Angelo Spognardi and Maurizio Tesconi	0	2015			56--71	10.1016/j.dss.2015.09.003	Decision Support Systems	80		https://doi.org/10.1016/j.dss.2015.09.003	46	 			0.991	0.991	0.991	0.991	0.998	0.983								
yang2013empirical	yang-2013	yang	empirical	348	Empirical evaluation and new design for fighting evolving twitter spammers.	Chao Yang and Robert Harkreader and Guofei Gu	0	2013			1280--1293	10.1109/TIFS.2013.2267732	IEEE Transactions on Information Forensics and Security	8	8	https://doi.org/10.1109/TIFS.2013.2267732	37				0.9825			0.9					0.01					
lee2011a	caverlee-2011	lee	a	502	A Long-Term Study of Content Polluters on Twitter	Kyumin Lee and Brian Eoff and James Caverlee	1	2011	Fifth International AAAI Conference on Weblogs and Social Media 	Association for the Advancement of Artificial Intelligence 	185--192					https://ojs.aaai.org/index.php/ICWSM/article/view/14106	44				0.9862			0.986	0.999									
chao2011die	possibly spammers used in cresci-2017 or another spam dataset	chao	die	346	Die Free or Live Hard? Empirical Evaluation and New Design for Fighting Evolving Twitter Spammers.	Chao Yang and Robert Chandler Harkreader and Guofei Gu 	1	2011	Recent Advances in Intrusion Detection	Springer	318--337	10.1007/978-3-642-23644-0				https://link.springer.com/chapter/10.1007/978-3-642-23644-0_17	30							0.884					0.006		0.858			
lee2010uncovering	caverlee-2011	lee	uncovering	904	Uncovering Social Spammers: Social Honeypots + Machine Learning	Kyumin Lee and James Caverlee and Steve Webb	1	2010	33rd International ACM SIGIR Conference on Research and Development in Information Retrieval	Association for Computing Machinery	435--442	10.1145/1835449.1835522				https://people.engr.tamu.edu/caverlee/pubs/lee10sigir.pdf					0.8898			0.888					MySpace: 0.007 Twitter: 0.057					
																					0.835													
