bibtex name	author last	title first	title	authors	doi link	approx # google scholar citations	year published	avg. # citations / year	dataset(s) used	types of features used (network stats? NLP?)	model used (deep learning? random forests? NLP?)	notes	checked for performance metrics?	accuracy	precision	recall	f1	AUC	MCC	Specificity / TPR	Sensitivity / TNR	FPR	FNR	Detection rate	Error rate	Kolmogorov-Smirnov distance	Kullback-Liebler distance
stieglitz2017do	stieglitz	do	Do Social Bots Dream of Electric Sheep? A Categorisation of Social Media Bot Accounts	Stieglitz, S., Brachten, F., Ross, B., & Jung, A. K	https://arxiv.org/ftp/arxiv/papers/1710/1710.04044.pdf	98	2017	18				just a literature review	TRUE														
gilani2017of	gilani	of	Of Bots and Humans (on Twitter)	Zafar Gilani⇤, Reza Farahbakhsh†, Gareth Tyson‡, Liang Wang⇤, Jon Crowcroft⇤	https://dl.acm.org/doi/pdf/10.1145/3110025.3110090	79	2017	14	gilani-2017				TRUE														
cresci2019better	cresci	better	Better Safe Than Sorry: an Adversarial Approach to improve Social Bot Detection	Stefano Cresci, Angelo Spognardi, Stefano Tognazz	https://dl.acm.org/doi/pdf/10.1145/3292522.3326030	50	2019	14	cresci-2017				TRUE														
efthimion2018supervised	efthimion	supervised	Supervised machine learning bot detection techniques to identify social twitter bots	Phillip George Efthimion, Scott Payne, Nicholas Proferes	https://scholar.smu.edu/datasciencereview/vol1/iss2/5/	57	2018	13	cresci-2017 NBC-2018				TRUE	0.9775						0.9898							
wei2019twitter	wei	twitter	Twitter Bot Detection Using Bidirectional Long Short-term Memory Neural Networks and Word Embeddings	Feng Wei, Uyen Trang Nguyen 	https://arxiv.org/pdf/2002.01336.pdf	40	2019	11	cresci-2017 tweets				TRUE	0.961	0.94	0.976	0.963		0.92	0.938							
wu2017adaptive	wu	adaptive	Adaptive Spammer Detection with Sparse Group Modeling	Liang Wu†, Xia Hu‡, Fred Morstatter†, Huan Liu†	http://www.liangwu.me/files/papers/ICWSM17_Liang%20Wu_Adaptive%20Spammer%20Detection.pdf	54	2017	10	caverlee-2011				TRUE		0.93	0.9692	0.9531										
alhosseini2019detect	alhosseini	detect	Detect Me If You Can: Spam Bot Detection Using Inductive Representation Learning	Seyed Ali Alhosseini, Raad Bin Tareaf, Pejman Najafi, and Christoph Meinel.	https://dl.acm.org/doi/10.1145/3308560.3316504	17	2019	5	caverlee-2011 cresci-2017 yang-2013				TRUE		0.89	0.8	0.84	0.94									
ilias2021detecting	ilias	detecting	Detecting malicious activity in Twitter using deep learning techniques	Loukas Ilias, Ioanna Roussaki	https://doi.org/10.1016/j.asoc.2021.107360	7	2021	5	cresci-2017 caverlee-2011			lots of derived features	TRUE	cresci-2017: 0.99 caverlee-2011: 0.08261	cresci-2017: 0.98 caverlee-2011: 0.8365	cresci-2017: 0.9973 caverlee-2011: 0.8941	cresci-2017: 0.9886 caverlee-2011: 0.8643	cresci-2017: 0.9976 caverlee-2011: 0.8870									
knauth2019language-agnostic	knauth	language-agnostic	Language-Agnostic Twitter-Bot Detection	Jürgen Knauth	http://dx.doi.org/10.26615/978-954-452-056-4_065	13	2019	4	cresci-2017				TRUE	0.9881	0.9958	0.9835	0.9896	0.9959									
kosmajac2019twitter	kosmajac	twitter	Twitter Bot Detection using Diversity Measures	Dijana Kosmajac, Vlado Kesel	https://aclanthology.org/W19-7401/	13	2019	4	varol-2017 cresci-2017			consider reaching out to see if they will share the full varol data	TRUE				cresci-2017: 0.9667 varol-2017: 0.7306										
beatson2021automation	beatson	automation	Automation on Twitter: Measuring the Effectiveness of Approaches to Bot Detection 	Oliver Beatson, Rachel Gibson, Marta Cantijoch Cunill, Mark Elliot	https://doi.org/10.1177%2F08944393211034991	2	2021	1	FBPE-2021				TRUE														
garcia-silva2019an	garcia-silva	an	An Empirical Study on Pre-trained Embeddings and Language Models for Bot Detection	Andres Garcia-Silva, Cristian Berrio, José Manuel Gómez-Pérez	http://dx.doi.org/10.18653/v1/W19-4317	4	2019	1	gilani-2017 tweets				TRUE		0.8481	0.8243	0.8229										
feng2021botrgcn:	feng	botrgcn:	BotRGCN: Twitter Bot Detection with Relational Graph Convolutional Networks	Shangbin Feng, Herun Wan, Ningnan Wang, Minnan Luo	https://arxiv.org/abs/2106.13092		2021	0	TwiBot-20				TRUE	0.8462			0.8707		0.7021								
mazza2019rtbust:	mazza	rtbust:	RTbust: Exploiting Temporal Patterns for Botnet Detection on Twitter	Michele Mazza, Stefano Cresci, Marco Avvenuti, Walter Quattrociocchi, Maurizio Tesconi	https://doi.org/10.1145/3292522.3326015		2019	0	cresci-rtbust-2019				TRUE	0.9304			0.8687		0.7572								
thavasimania	thavasimani	a	A Custom Classifier to Detect Spambots on CRESCI-2017 Dataset	Karthikayini Thavasimani & N. K. Srinath 	https://link.springer.com/chapter/10.1007/978-981-16-1338-8_16			0	cresci-2017				TRUE	0.9613	0.96	0.96			0.89								
dehghan2018detecting	dehghan	detecting	Detecting Bots in Social-Networks Using Node and Structural Embeddings	Ashkan Dehghan1, Kinga Siuta1,2, Agata Skorupka1,2, Akshat Dubey1, Andrei Betlen3, David Miller3, Wei Xu1, Bogumił Kami ́nski2 a, and Paweł Prałat1	https://math.ryerson.ca/~pralat/papers/bots.pdf		2018	0	TwiBot-20				TRUE	0.8176			0.8452		0.6246								
chudetecting	chu	detecting	Detecting social spam campaigns on twitter	Zi Chu, Indra Widjaja, Haining Wang				0	chu-2012				TRUE	0.945						0.934	0.959						
feng2022heterogeneity-aware	feng	heterogeneity-aware	Heterogeneity-aware Twitter Bot Detection with Relational Graph Transformers	Shangbin Feng, Zhaoxuan Tan, Rui Li, Minnan Luo	https://arxiv.org/abs/2109.02927		2022	0	TwiBot-20				TRUE	0.8664			0.8821										
geng2021satar:	geng	satar:	SATAR: A Self-supervised Approach to Twitter Account Representation Learning and its Application in Bot Detection	Shangbin Feng, Herun Wan, Ningnan Wang, Jundong Li, Minnan Luo	https://arxiv.org/abs/2106.13089		2021	0	TwiBot-20 cresci-2017 PAN-2019				TRUE	TwiBot-20: 0.8412 cresci-2017: 0.9871 PAN-2019: 0.9509			TwiBot-20: 0.8642 cresci-2017: 0.9910 PAN-2019: 0.9510		TwiBot-20: 0.6863 cresci-2017: 0.9685 PAN-2019: 0.9018								
guosocial	guo	social	Social Bots Detection via Fusing BERT and Graph Convolutional Networks	Qinglang Guo 1,2 , Haiyong Xie 1,3,4,* , Yangyang Li 2, Wen Ma 5 and Chao Zhang 	https://mdpi-res.com/d_attachment/symmetry/symmetry-14-00030/article_deploy/symmetry-14-00030.pdf?version=1640602824			0	cresci-rtbust-2018 botometer-feedback-2019 gilani-2017 cresci-stock-2018 midterm-2018				TRUE	0.78	0.8842	0.5926	0.7096							name	string		
dimitriadis2021social	dimitriadis	social	Social Botomics: A Systematic Ensemble ML Approach for Explainable and Multi-Class Bot Detection 	Ilias Dimitriadis * [ORCID] , Konstantinos Georgiou [ORCID] and Athena Vakali [ORCID] 	https://doi.org/10.3390/app11219857		2021	0	cresci-2017 cresci-2015 pronbots-2019 gilani-2017 political-bots-2019 astroturf botwiki-2019 vendor-purchased-2019 varol-2017 italian_elections cresci-stock midterm-2018 caverlee-2011				TRUE	0.861	0.895	0.85	0.87							name	string		
vargas2020on	vargas	on	On the detection of disinforma- tion campaign activity with network analysis.	Vargas L, Emami P, Traynor P	https://doi.org/10.1145/3411495.3421363		2020	0	vargas-2020				TRUE		0.985	0.982	0.98										
			 The advantage of the right in social media news sharing 	Sandra González-Bailón a, *, Valeria d’Andrea b , Deen Freelon c and Manlio De Domenico	https://doi.org/10.1093/pnasnexus/pgac137				cresci-2015 cresci-2017				TRUE	0.9			0.9										
			Influence of augmented humans in online interactions during voting events	Massimo Stella¤, Marco Cristoforetti, Manlio De Domenico	https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0214210&type=printable				cresci-2015 cresci-2017 cyborgs aboutme omnibots russian-trolls				TRUE	0.9	0.95												
cresci2018$	cresci	$	$ FAKE: Evidence of Spam and Bot Activity in Stock Microblogs on Twitter.	Stefano Cresci,1 Fabrizio Lillo,2 Daniele Regoli,3 Serena Tardelli,1 Maurizio Tesconi1	https://ojs.aaai.org/index.php/ICWSM/article/download/15073/14923	46	2018	10	cresci-stock-2018			unsupervised	TRUE														
daya2020botchase:	daya	botchase:	BotChase: Graph-Based Bot Detection Using Machine Learning	Abbas Abou Daya, Mohammad A. Salahuddin , Noura Limam , and Raouf Boutab	https://doi.org/10.1109/TNSM.2020.2972405	23	2020	9				uses CTU-13 dataset "An empirical comparison of botnet detection methods" about DDoS attacks etc which is probably out of scope	TRUE														
daya2019a	daya	a	A Graph-Based Machine Learning Approach for Bot Detection	Abbas Abou Daya, Mohammad A. Salahuddin, Noura Limam, and Raouf Boutaba	https://ieeexplore.ieee.org/abstract/document/8717821?casa_token=t08Iw8RsVLoAAAAA:VJN1uSJeHbG-qDk-6Z0x13MwBD59ZKLOpmfF0NSlrk2mj4V4luktgYM3K5CQyYaueJjpB_b0zJU	31	2019	9				uses CTU-13 dataset "An empirical comparison of botnet detection methods" about DDoS attacks etc which is probably out of scope	TRUE														
villamarin-saalomon2009bayesian	villamarin-saalomon	bayesian	Bayesian bot detection based on DNS traffic similarity	Ricardo Villamarín-Salomón and José Carlos Brustoloni	https://doi.org/10.1145/1529282.1529734	116	2009	9					TRUE														
wu2018bot	wu	bot	Bot detection using unsupervised machine learning	Wei Wu, Jaime Alvarez, Chengcheng Liu & Hung-Min Sun 	https://doi.org/10.1007/s00542-016-3237-0	34	2018	8				DNS traffic study	TRUE														
yu2010sbotminer:	yu	sbotminer:	SBotMiner: large scale search bot detection	Fang Yu, Yinglian Xie, Qifa Ke	https://doi.org/10.1145/1718487.1718540	84	2010	7					TRUE														
al-hammadi2008dca	al-hammadi	dca	DCA for bot detection	Yousof Al-Hammadi; Uwe Aickelin; Julie Greensmith	https://doi.org/10.1109/CEC.2008.4631034	96	2008	7					TRUE														
albadi2019hateful	albadi	hateful	Hateful People or Hateful Bots?: Detection and Characterization of Bots Spreading Religious Hatred in Arabic Social Media	Albadi, N., Kurdi, M., & Mishra, S.	https://dl.acm.org/doi/pdf/10.1145/3359163?casa_token=3_tmXYDpuSAAAAAA:D76R18fzbgo4zZR7GOuB7PnDerwQtncCF-pSoEvn3_EYHnSWaYmYt56TmXHjyd7WfCWGDtQy_Hs-kg	22	2019	6	albadi-2019				TRUE														
mendoza2020bots	mendoza	bots	Bots in Social and Interaction Networks: Detection and Impact Estimation	MARCELO MENDOZA, MAURIZIO TESCONI and STEFANO CRESCI	https://dl.acm.org/doi/pdf/10.1145/3419369	10	2020	4	scraped users from cascades, used rtbust to get "ground truth" labels				TRUE														
varolfeature	varol	feature	Feature engineering for social bot detection. Feature engineering for machine learning and data analytics, 311th ed., 2018.	A. Varol, O., Davis, C. A., Menczer, F., & Flammini,		14		0	just explains other methods				TRUE														
mukunthana2021detection	mukunthana	detection	Detection of Malicious Data in Twitter Using Machine Learning Approaches	B.Mukunthana , M.Arunkrishnab	https://turcomat.org/index.php/turkbilmat/article/download/2008/1739	0	2021	0	.			this paper is extremely low quality	TRUE														
garcia-silvaan	garcia-silva	an	An empirical comparison of botnet detection methods	S. García a,b,*, M. Grill b, J. Stiborek b, A. Zunino a	https://d1wqtxts1xzle7.cloudfront.net/43317690/An_empirical_comparison_of_botnet_detection_methods-with-cover-page-v2.pdf?Expires=1654356672&Signature=DKHFu~WpDVkvT7kxoGNPp73e8yGROwX7L3ERR9X7INhX0Ojq8jTqCtP2I-3qO2CxWgeMFUZt5DMrKEdzcuNGXC7t0S5VgnhInA4Hh~n8qYHH8GWxrP8bHYEtDk6yM11Hds3zOKChqF~e0t59ofGkxrnPhenpdA02Qf0l7FuLKUzxY9lTiZ55-rl-h-1cQbLhTylxNQHL6bt2HBDlx7AFbrgnlQ3-WYTSdRnPrQqdgMdgYR5XP~vtKZ~hRjbwJdH~8NxOX1Q3aow6Qb-gzqmeoe2H6cdABMPp9KlDT-shumoNccfv7qc0eZJyIokUTu~SJh15k1638Q-0WEoAbSQiog__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA			0				about network traffic, probably out of scope	TRUE														
2017robhat		robhat	RoBhat Labs.		https://botcheck.me/		2017	0	proprietary data, seems to start from unsupervised anomaly detection for things like tweeting patterns				TRUE														
ferrara2017disinformation	ferrara	disinformation	Disinformation and Social Bot Operations in the Run Up to the 2017 French Presidential Election 	Emilio Ferrara	https://arxiv.org/abs/1707.00086	450	2017	82	varol-2017 cresci-2017				TRUE	0.93				0.92									
chu2012detecting	chu	detecting	Detecting automation of twitter accounts: Are you a human, bot, or cyborg	Z. Chu, S. Gianvecchio, H. Wang, and S. Jajodia	https://ieeexplore.ieee.org/document/6280553	737	2012	70	chu-2012				TRUE	0.96													
kudugunta2018deep	kudugunta	deep	Deep neural networks for bot detection	Sneha Kudugunta, Emilio Ferrara	https://doi.org/10.1016/j.ins.2018.08.019	256	2018	57	cresci-2017	cresci dataset features	a deep neural network based on contextual long short-term memory (LSTM) architecture that exploits both con- tent and metadata to detect bots at the tweet level; also propose a technique based on synthetic minority oversampling to generate a large labeled dataset, suitable for deep nets training, from a minimal amount of labeled data (roughly 3000 examples of sophisticated Twitter bots)		TRUE	0.9981	1	1	1	0.9981									
cresci2015fame	cresci	fame	Fame for sale: Efficient detection of fake Twitter followers	StefanoCresciabRobertoDi PietrobcMarinellaPetrocchiaAngeloSpognardiadMaurizioTesconia	https://doi.org/10.1016/j.dss.2015.09.003	346	2015	46	cresci-2015	 			TRUE	0.991	0.991	0.991	0.991	0.998	0.983								
yang2013empirical	yang	empirical	Empirical evaluation and new design for fighting evolving twitter spammers.	Chao Yang; Robert Harkreader; Guofei Gu	https://doi.org/10.1109/TIFS.2013.2267732	348	2013	37	yang-2013				TRUE	0.9825			0.9					0.01					
heidari2021an	heidari	an	An Empirical Study of Machine learning Algorithms for Social Media Bot Detection	Maryam Heidari; James H Jr Jones; Ozlem Uzuner	https://doi.org/10.1109/IEMTRONICS52119.2021.9422605	53	2021	35	cresci-2017			extracts new sentiment features	TRUE	0.923			0.93		0.889								
gilani2020classification	gilani	classification	Classification of twitter accounts into automated agents and human users	Z. Gilani, E. Kochmar, and J. Crowcroft, “C	https://ieeexplore.ieee.org/abstract/document/9069085	84	2020	34	gilani-2017	age of account, favorites-to-tweets ratio, lists per user, followers-to-friends ratio, user favorites, likes/favorites per tweet, retweets per tweet, user replies, users tweets, user retweets, tweet frequency, URLs count, activity source type, source count, CDN content size			TRUE	0.8644	0.854	0.822	0.836										
			Deepbot: A Deep Neural Network based approach for Detecting Twitter Bots	Linhao Luo 1, Xiaofeng Zhang 1, Xiaofei Yang 1 and Weihuang Yang1	DOI:10.1088/1757-899X/719/1/012063				PAN-19				TRUE	0.7964				0.8704									
			 BotSpot: Deep Learning Classification of Bot Accounts Within Twitter	Braker, Christopher; Shiaeles, Stavros; Bendiab, Gueltoum; Savage, Nick; Limniotis, Konstantinos; Galinina, Olga; Andreev, Sergey; Balandin, Sergey; Koucheryavy, Yevgeni									TRUE	0.92	0.9259	0.5	0.6494										
heidari2020using	heidari	using	Using BERT to Extract Topic-Independent Sentiment Features for Social Media Bot Detection	Maryam Heidari; James H Jones	https://doi.org/10.1109/UEMCON51285.2020.9298158	81	2020	32	cresci-2017				TRUE	0.979			0.976		0.962								
chavoshi2016debot:	chavoshi	debot:	DeBot: Twitter Bot Detection via Warped Correlation	Nikan Chavoshi, Hossein Hamooni, Abdullah Mueen	https://doi.org/10.1109/ICDM.2016.0096	206	2016	32	debot	correlation between groups of accounts			TRUE		0.94												
cresci2018social	cresci	social	Social Fingerprinting: Detection of Spambot Groups Through DNA-Inspired Behavioral Modeling	Stefano Cresci, Member, IEEE, Roberto Di Pietro, Marinella Petrocchi, Angelo Spognardi , and Maurizio Tesconi	https://doi.org/10.1109/TDSC.2017.2681672	132	2018	29	cresci-2017				TRUE	0.977	1	0.977	0.977		0.955	1							
morstatter2016a	morstatter	a	A new approach to bot detection: Striking the balance between precision and recall	Fred Morstatter, Liang Wu, Tahora H. Nazer, Kathleen M. Carley, Huan Liu	https://doi.org/10.1109/ASONAM.2016.7752287	163	2016	25	morstatter-2016				TRUE		0.7976	0.9996	0.7655										
rodríguez-ruiza2020a	rodríguez-ruiza	a	A one-class classification approach for bot detection on Twitter	JorgeRodríguez-RuizaJavier IsraelMata-SánchezbRaúlMonroycOctavioLoyola-GonzálezdArmandoLópez-Cuevase	https://doi.org/10.1016/j.cose.2020.101715	53	2020	21					TRUE					0.89									
ahmed2013a	ahmed	a	A Generic Statistical Approach for Spam Detection in Online Social Networks	F. Ahmed and M. Abulaish	https://www.sciencedirect.com/science/article/abs/pii/S0140366413001047	195	2013	21	EMD-2017				TRUE									0.075		0.976			
cai2017behavior	cai	behavior	Behavior enhanced deep bot detection in social media	Chiyu Cai; Linjing Li; Daniel Zengi	https://doi.org/10.1109/ISI.2017.8004887	82	2017	15	morstatter-2016				TRUE		0.8841	0.8925	0.8732										
ersahin2017twitter	ersahin	twitter	Twitter fake account detection	B. Ersahin, Ö. Akta ̧s, D. Kılınç, and C. Akyol, 	https://ieeexplore.ieee.org/document/8093420	80	2017	15	EMD-2017		Naive Bayes classifier		TRUE	0.909			0.909										
alarifi2016twitter	alarifi	twitter	Twitter turing test: Identifying social machines	A. Alarifi, M. Alsaleh, and A. Al-Salman, “	https://doi.org/10.1016/j.ins.2016.08.036	81	2016	12	caverlee-2011 alarifi-2016	# hashtags per tweet, number of times a hashtag was used, # links, # mentions per tweet, # characters per tweet, # pictures, ...	run feature selection and then 4 ML models: decision tree, Bayesian network, SVM and neural net		TRUE		0.91	0.91	0.91			0.91		0.09		0.9139	0.0861		
loyola-gonzalez2019contrast	loyola-gonzalez	contrast	Contrast Pattern-Based Classification for Bot Detection on Twitter	OCTAVIO LOYOLA-GONZÁLEZ 1, RAÚL MONROY 2, JORGE RODRÍGUEZ 2, ARMANDO LÓPEZ-CUEVAS 3, AND JAVIER ISRAEL MATA-SÁNCHEZ	https://doi.org/10.1109/ACCESS.2019.2904220	43	2019	12	cresci-2017				TRUE					0.9	0.91								
beskow2018bot	beskow	bot	Bot conversations are different: leveraging network metrics for bot detection in twitter	Beskow, David M., and Kathleen M. Carley	https://doi.org/10.1109/ASONAM.2018.8508322	40	2018	9	random-strings-2018 caverlee-2011 journalist-attack-2017				TRUE		Random data: 0.99 journalist-attack-2017: 0.973	Random data: 0.991 journalist-attack-2017: 0.742		Random data: 0.992 journalist-attack-2017: 0.858									
echeverria2018lobo:	echeverria	lobo:	LOBO: Evaluation of Generalization Deficiencies in Twitter Bot Classifiers	Juan Echeverrï£¡a1c, Emiliano De Cristofaro1, Nicolas Kourtellis2, Ilias Leontiadis2, Gianluca Stringhini3, and Shi Zhou1	https://dl.acm.org/doi/abs/10.1145/3274694.3274738	33	2018	7	starwars besel-2018 debot cresci-2017 cresci-2015 darpa-challenge-2015 journalist-attack-2017 gilani-2017				TRUE	Sample of all datasets: 0.9784				Sample of all datasets: 0.98									
mohammad2019bot	mohammad	bot	Bot detection using a single post on social media	Shad Mohammad, Mazhar Ali, Leo Liu, Matthew Shardlow, Raheel Nawaz	https://doi.org/10.1109/WorldS4.2019.8903989	19	2019	5	cresci-2017	tweets			TRUE	0.9943	0.99	0.99	0.99										
kantepe2017preprocessing	kantepe	preprocessing	Preprocessing framework for Twitter bot detection	Mücahit Kantepe; Murat Can Ganiz	https://doi.org/10.1109/UBMK.2017.8093483	31	2017	6	kantepe-2017	SVM, logistic regression, gradient boosted trees			TRUE	0.86			0.82										
weber2020who's	weber	who's	Who's in the Gang? Revealing Coordinating Communities in Social Media	Derek Weber, Frank Neumann	https://doi.org/10.1109/ASONAM49781.2020.9381418	13	2020	5	ira-2018 weber-2020			earlier version of "A General Method to Find Highly Coordinating Communities in Social Media through Inferred Interaction Links"	TRUE	no measures reported													
chavoshi2017on-demand	chavoshi	on-demand	On-Demand Bot Detection and Archival System	Nikan Chavoshi, Hossein Hamooni, Abdullah Mueen	https://doi.org/10.1145/3041021.3054733	23	2017	4	debot				TRUE	no measures reported													
cresci2017exploiting	cresci	exploiting	Exploiting digital DNA for the analysis of similarities in Twitter behaviour	Stefano Cresci, Roberto Di Pietro, Marinella Petrocchi, Angelo Spognardi, and Maurizio Tesconi	https://ieeexplore.ieee.org/document/8259831	20	2017	4	cresci-2017				TRUE													0.0028	0.0001
weber2021a	weber	a	A General Method to Find Highly Coordinating Communities in Social Media through Inferred Interaction Links	Derek Weber, Frank Neumann	https://arxiv.org/pdf/2103.03409.pdf	3	2021	2	Tweets relating to a regional Australian election in March 2018, including a ground truth subset (GT); and  a large subset of the Internet Research Agency (IRA) dataset published by Twitter in October 2018.				TRUE	0.91	1	0.99	0.92										
cresci2021the	cresci	the	The coming age of adversarial social bot detection 	Stefano Cresci, Marinella Petrocchi, Angelo Spognardi, Stefano Tognazzi	https://doi.org/10.5210/fm.v26i7.11474	3	2021	2	ground truth subset (GT); and				TRUE	no measures reported													
khaund2018analyzing	khaund	analyzing	Analyzing Social and Communication Network Structures of Social Bots and Humans	Khaund, T., Bandeli, K. K., Hussain, M. N., Obadimu, A., Al-Khateeb, S., & Agarwal, N.	https://ieeexplore.ieee.org/document/8508665	7	2018	2					TRUE	no measures reported													
weber2021amplifying	weber	amplifying	Amplifying influence through coordinated behaviour in social networks	Derek Weber Frank Neumann	https://doi.org/10.1007/s13278-021-00815-2	2	2021	1	ira-2018 weber-2020				TRUE	0.91	1	1	0.91										
mesnards2018detecting	mesnards	detecting	Detecting Bots and Assessing Their Impact in Social Networks	Nicolas Guenon des Mesnards, David Scott Hunter, Zakaria el Hjouji, Tauhid Zaman	https://arxiv.org/abs/1810.12398	5	2018	1	mesnards-2018			augments giliani-2017 with text features	TRUE					0.91									
cresci208from	cresci	from	From Reaction to Proaction: Unexplored Ways to the Detection of Evolving Spambots	Stefano Cresci, Angelo Spognardi, Stefano Tognazz	https://dl.acm.org/doi/pdf/10.1145/3184558.3191595	32	208	0				no empirical part	TRUE	no measures reported													
dickerson2014using	dickerson	using	Using sentiment to detect bots on Twitter: Are humans more opinionated than bots?	John P. Dickerson; Vadim Kagan; V.S. Subrahmanian	https://doi.org/10.1109/ASONAM.2014.6921650		2014	0	a large dataset relating to the 2014 Indian election				TRUE					0.73									
yang2012	yang		 Analyzing Spammers’ Social Networks for Fun and Pro￿t	C. Yang, R. Harkreader, J. Zhang, S. Shin, and G. G	https://dl.acm.org/doi/pdf/10.1145/2187836.2187847?casa_token=jrptim3z0SkAAAAA:68KQtUKBbGzQ0QybdbpyDmdykkdYtmtoS74KKJ596OQ7MoGVcbKNuoJy814O0GcpDlgOcRR2ZCs		2012	0	yang-2013				TRUE	no measures reported													
bot		bot	Bot Sentinel					0	provides several datasets related to targeting Kamala Harris, recently suspended accounts, Megan Markle, and a disinfo campaign run by Project Veritas				TRUE	no measures reported													
